scheduler,tenant_id,sla_class,n_requests,p50_latency_us,p95_latency_us,p99_latency_us,max_latency_us,mean_latency_us,deadline_miss_rate,throughput_per_us
B0 Shared FIFO,0,premium,24,861.525,1294.910,1315.699,1321.640,853.244,0.8333,0.002473
B0 Shared FIFO,1,standard,7,996.463,1439.357,1469.703,1477.289,1015.180,0.0000,0.000721
B0 Shared FIFO,2,standard,17,864.610,1486.979,1517.212,1524.770,838.117,0.0000,0.001752
B0 Shared FIFO,3,best_effort,7,1025.839,1756.440,1791.710,1800.527,1215.952,0.0000,0.000721
B1 Priority + Continuous Batching,0,premium,24,279.151,758.450,775.884,779.831,361.287,0.4167,0.002473
B1 Priority + Continuous Batching,1,standard,7,481.873,712.902,731.993,736.765,476.430,0.0000,0.000721
B1 Priority + Continuous Batching,2,standard,17,569.444,995.465,1155.861,1195.961,615.303,0.0000,0.001752
B1 Priority + Continuous Batching,3,best_effort,7,2327.390,2610.951,2668.130,2682.425,1876.045,0.0000,0.000721
B2 Chunked Prefill,0,premium,24,166.011,231.699,236.659,237.559,161.943,0.0000,0.002473
B2 Chunked Prefill,1,standard,7,278.729,888.172,1037.937,1075.378,395.765,0.0000,0.000721
B2 Chunked Prefill,2,standard,17,372.031,638.485,1041.828,1142.664,385.760,0.0000,0.001752
B2 Chunked Prefill,3,best_effort,7,2719.902,5092.973,5187.394,5210.999,3267.767,0.0000,0.000721
QoS_CxlKvForge,0,premium,24,167.991,244.365,261.798,265.746,164.514,0.0000,0.002473
QoS_CxlKvForge,1,standard,7,267.788,703.851,841.073,875.378,341.365,0.0000,0.000721
QoS_CxlKvForge,2,standard,17,279.123,553.537,944.838,1042.664,342.533,0.0000,0.001752
QoS_CxlKvForge,3,best_effort,7,2327.390,4014.538,4399.767,4496.075,2587.713,0.0000,0.000721
