request_id,tenant_id,sla_class,priority,arrival_us,start_us,complete_us,latency_us,queueing_us,deadline_us,deadline_miss
49,3,best_effort,12,0.000,0.000,653.297,653.297,0.000,10000.000,0
50,3,best_effort,12,20.861,653.297,1019.188,998.327,632.436,10020.861,0
25,1,standard,4,500.000,1019.188,1170.547,670.547,519.188,2500.000,0
32,2,standard,4,500.000,1170.547,1331.629,831.629,670.547,2500.000,0
26,1,standard,4,545.750,1331.629,1542.214,996.463,785.878,2545.750,0
33,2,standard,4,595.531,1542.214,1759.281,1163.749,946.682,2595.531,0
1,0,premium,1,1000.000,1759.281,1824.524,824.524,759.281,1300.000,1
2,0,premium,1,1040.000,1824.524,1889.075,849.075,784.524,1340.000,1
3,0,premium,1,1080.000,1889.075,1953.976,873.976,809.075,1380.000,1
4,0,premium,1,1120.000,1953.976,2025.199,905.199,833.976,1420.000,1
5,0,premium,1,1160.000,2025.199,2098.421,938.421,865.199,1460.000,1
6,0,premium,1,1200.000,2098.421,2157.383,957.383,898.421,1500.000,1
34,2,standard,4,1571.134,2157.383,2332.543,761.409,586.249,3571.134,0
51,3,best_effort,12,1622.927,2332.543,2557.539,934.613,709.616,11622.927,0
27,1,standard,4,1944.744,2557.539,2690.037,745.293,612.795,3944.744,0
35,2,standard,4,2381.448,2690.037,2951.459,570.010,308.589,4381.448,0
28,1,standard,4,2542.301,2951.459,3136.811,594.510,409.158,4542.301,0
7,0,premium,1,3000.000,3136.811,3200.940,200.940,136.811,3300.000,0
8,0,premium,1,3040.000,3200.940,3254.278,214.278,160.940,3340.000,0
9,0,premium,1,3080.000,3254.278,3328.507,248.507,174.278,3380.000,0
10,0,premium,1,3120.000,3328.507,3387.285,267.285,208.507,3420.000,0
52,3,best_effort,12,3139.939,3387.285,4165.778,1025.839,247.345,13139.939,0
11,0,premium,1,3160.000,4165.778,4237.458,1077.458,1005.778,3460.000,1
12,0,premium,1,3200.000,4237.458,4294.346,1094.346,1037.458,3500.000,1
53,3,best_effort,12,3254.863,4294.346,4908.432,1653.568,1039.483,13254.863,0
36,2,standard,4,3741.141,4908.432,5090.103,1348.962,1167.291,5741.141,0
29,1,standard,4,3876.065,5090.103,5226.916,1350.851,1214.038,5876.065,0
37,2,standard,4,4184.750,5226.916,5368.279,1183.530,1042.166,6184.750,0
30,1,standard,4,4340.285,5368.279,5611.593,1271.308,1027.995,6340.285,0
13,0,premium,1,5000.000,5611.593,5674.403,674.403,611.593,5300.000,1
14,0,premium,1,5040.000,5674.403,5736.620,696.620,634.403,5340.000,1
15,0,premium,1,5080.000,5736.620,5802.931,722.931,656.620,5380.000,1
16,0,premium,1,5120.000,5802.931,5854.558,734.558,682.931,5420.000,1
17,0,premium,1,5160.000,5854.558,5922.667,762.667,694.558,5460.000,1
18,0,premium,1,5200.000,5922.667,5979.831,779.831,722.667,5500.000,1
38,2,standard,4,5379.272,5979.831,6109.039,729.767,600.559,7379.272,0
39,2,standard,4,5389.833,6109.039,6254.443,864.610,719.207,7389.833,0
40,2,standard,4,5573.136,6254.443,6480.827,907.690,681.306,7573.136,0
41,2,standard,4,5783.181,6480.827,6689.068,905.887,697.646,7783.181,0
42,2,standard,4,5923.700,6689.068,6869.041,945.341,765.368,7923.700,0
54,3,best_effort,12,6026.452,6869.041,7471.945,1445.493,842.589,16026.452,0
55,3,best_effort,12,6063.929,7471.945,7864.456,1800.527,1408.016,16063.929,0
31,1,standard,4,6558.659,7864.456,8035.948,1477.289,1305.797,8558.659,0
43,2,standard,4,6688.373,8035.948,8165.905,1477.532,1347.575,8688.373,0
19,0,premium,1,7000.000,8165.905,8226.742,1226.742,1165.905,7300.000,1
20,0,premium,1,7040.000,8226.742,8289.929,1249.929,1186.742,7340.000,1
21,0,premium,1,7080.000,8289.929,8351.514,1271.514,1209.929,7380.000,1
22,0,premium,1,7120.000,8351.514,8409.816,1289.816,1231.514,7420.000,1
23,0,premium,1,7160.000,8409.816,8455.809,1295.809,1249.816,7460.000,1
24,0,premium,1,7200.000,8455.809,8521.640,1321.640,1255.809,7500.000,1
44,2,standard,4,7221.584,8521.640,8746.354,1524.770,1300.056,9221.584,0
45,2,standard,4,8862.550,8862.550,9030.396,167.846,0.000,10862.550,0
46,2,standard,4,8923.042,9030.396,9198.969,275.927,107.354,10923.042,0
47,2,standard,4,9020.847,9198.969,9426.063,405.215,178.122,11020.847,0
48,2,standard,4,9520.036,9520.036,9704.155,184.118,0.000,11520.036,0
