request_id,tenant_id,sla_class,priority,arrival_us,start_us,complete_us,latency_us,queueing_us,deadline_us,deadline_miss
49,3,best_effort,12,0.000,0.000,653.297,653.297,0.000,10000.000,0
25,1,standard,4,500.000,653.297,804.656,304.656,153.297,2500.000,0
32,2,standard,4,500.000,804.656,965.737,465.737,304.656,2500.000,0
26,1,standard,4,545.750,965.737,1176.322,630.572,419.987,2545.750,0
1,0,premium,1,1000.000,1176.322,1241.566,241.566,176.322,1300.000,0
2,0,premium,1,1040.000,1241.566,1306.117,266.117,201.566,1340.000,0
3,0,premium,1,1080.000,1306.117,1371.018,291.018,226.117,1380.000,0
4,0,premium,1,1120.000,1371.018,1442.241,322.241,251.018,1420.000,1
5,0,premium,1,1160.000,1442.241,1515.462,355.462,282.241,1460.000,1
6,0,premium,1,1200.000,1515.462,1574.425,374.425,315.462,1500.000,1
33,2,standard,4,595.531,1574.425,1791.492,1195.961,978.894,2595.531,0
34,2,standard,4,1571.134,1791.492,1966.652,395.518,220.358,3571.134,0
27,1,standard,4,1944.744,1966.652,2099.149,154.405,21.907,3944.744,0
50,3,best_effort,12,20.861,2099.149,2465.040,2444.179,2078.288,10020.861,0
35,2,standard,4,2381.448,2465.040,2726.462,345.014,83.592,4381.448,0
28,1,standard,4,2542.301,2726.462,2911.814,369.514,184.161,4542.301,0
51,3,best_effort,12,1622.927,2911.814,3136.811,1513.884,1288.888,11622.927,0
7,0,premium,1,3000.000,3136.811,3200.940,200.940,136.811,3300.000,0
8,0,premium,1,3040.000,3200.940,3254.278,214.278,160.940,3340.000,0
9,0,premium,1,3080.000,3254.278,3328.507,248.507,174.278,3380.000,0
10,0,premium,1,3120.000,3328.507,3387.285,267.285,208.507,3420.000,0
11,0,premium,1,3160.000,3387.285,3458.965,298.965,227.285,3460.000,0
12,0,premium,1,3200.000,3458.965,3515.853,315.853,258.965,3500.000,1
52,3,best_effort,12,3139.939,3515.853,4294.346,1154.407,375.913,13139.939,0
36,2,standard,4,3741.141,4294.346,4476.018,734.877,553.205,5741.141,0
29,1,standard,4,3876.065,4476.018,4612.830,736.765,599.953,5876.065,0
37,2,standard,4,4184.750,4612.830,4754.194,569.444,428.081,6184.750,0
30,1,standard,4,4340.285,4754.194,4997.507,657.223,413.909,6340.285,0
53,3,best_effort,12,3254.863,4997.507,5611.593,2356.729,1742.644,13254.863,0
13,0,premium,1,5000.000,5611.593,5674.403,674.403,611.593,5300.000,1
14,0,premium,1,5040.000,5674.403,5736.620,696.620,634.403,5340.000,1
15,0,premium,1,5080.000,5736.620,5802.931,722.931,656.620,5380.000,1
16,0,premium,1,5120.000,5802.931,5854.558,734.558,682.931,5420.000,1
17,0,premium,1,5160.000,5854.558,5922.667,762.667,694.558,5460.000,1
18,0,premium,1,5200.000,5922.667,5979.831,779.831,722.667,5500.000,1
38,2,standard,4,5379.272,5979.831,6109.039,729.767,600.559,7379.272,0
39,2,standard,4,5389.833,6109.039,6254.443,864.610,719.207,7389.833,0
40,2,standard,4,5573.136,6254.443,6480.827,907.690,681.306,7573.136,0
41,2,standard,4,5783.181,6480.827,6689.068,905.887,697.646,7783.181,0
42,2,standard,4,5923.700,6689.068,6869.041,945.341,765.368,7923.700,0
31,1,standard,4,6558.659,6869.041,7040.533,481.873,310.381,8558.659,0
19,0,premium,1,7000.000,7040.533,7101.370,101.370,40.533,7300.000,0
20,0,premium,1,7040.000,7101.370,7164.557,124.557,61.370,7340.000,0
21,0,premium,1,7080.000,7164.557,7226.142,146.142,84.557,7380.000,0
22,0,premium,1,7120.000,7226.142,7284.444,164.444,106.142,7420.000,0
23,0,premium,1,7160.000,7284.444,7330.437,170.437,124.444,7460.000,0
24,0,premium,1,7200.000,7330.437,7396.268,196.268,130.437,7500.000,0
43,2,standard,4,6688.373,7396.268,7526.225,837.852,707.895,8688.373,0
44,2,standard,4,7221.584,7526.225,7750.938,529.354,304.641,9221.584,0
54,3,best_effort,12,6026.452,7750.938,8353.842,2327.390,1724.486,16026.452,0
55,3,best_effort,12,6063.929,8353.842,8746.354,2682.425,2289.913,16063.929,0
45,2,standard,4,8862.550,8862.550,9030.396,167.846,0.000,10862.550,0
46,2,standard,4,8923.042,9030.396,9198.969,275.927,107.354,10923.042,0
47,2,standard,4,9020.847,9198.969,9426.063,405.215,178.122,11020.847,0
48,2,standard,4,9520.036,9520.036,9704.155,184.118,0.000,11520.036,0
