request_id,tenant_id,sla_class,priority,arrival_us,start_us,complete_us,latency_us,queueing_us,deadline_us,deadline_miss
25,1,standard,4,500.000,500.000,951.359,451.359,0.000,2500.000,0
32,2,standard,4,500.000,600.000,1012.440,512.440,100.000,2500.000,0
1,0,premium,1,1000.000,1012.440,1077.684,77.684,12.440,1300.000,0
2,0,premium,1,1040.000,1077.684,1142.235,102.235,37.684,1340.000,0
3,0,premium,1,1080.000,1142.235,1207.136,127.136,62.235,1380.000,0
4,0,premium,1,1120.000,1207.136,1278.359,158.359,87.136,1420.000,0
5,0,premium,1,1160.000,1278.359,1351.581,191.581,118.359,1460.000,0
6,0,premium,1,1200.000,1351.581,1410.543,210.543,151.581,1500.000,0
26,1,standard,4,545.750,700.000,1621.128,1075.378,154.250,2545.750,0
33,2,standard,4,595.531,800.000,1738.195,1142.664,204.469,2595.531,0
34,2,standard,4,1571.134,1621.128,1813.355,242.221,49.994,3571.134,0
27,1,standard,4,1944.744,2013.355,2145.852,201.108,68.611,3944.744,0
50,3,best_effort,12,20.861,100.000,2311.744,2290.882,79.139,10020.861,0
35,2,standard,4,2381.448,2411.744,2773.165,391.717,30.295,4381.448,0
28,1,standard,4,2542.301,2611.744,2858.518,316.217,69.443,4542.301,0
7,0,premium,1,3000.000,3058.518,3122.646,122.646,58.518,3300.000,0
8,0,premium,1,3040.000,3122.646,3175.984,135.984,82.646,3340.000,0
9,0,premium,1,3080.000,3175.984,3250.214,170.214,95.984,3380.000,0
10,0,premium,1,3120.000,3250.214,3308.991,188.991,130.214,3420.000,0
11,0,premium,1,3160.000,3308.991,3380.671,220.671,148.991,3460.000,0
12,0,premium,1,3200.000,3380.671,3437.559,237.559,180.671,3500.000,0
51,3,best_effort,12,1622.927,2145.852,3462.556,1839.629,522.926,11622.927,0
49,3,best_effort,12,0.000,0.000,3515.853,3515.853,0.000,10000.000,0
36,2,standard,4,3741.141,3815.853,4097.524,356.383,74.712,5741.141,0
29,1,standard,4,3876.065,3915.853,4134.337,258.272,39.788,5876.065,0
37,2,standard,4,4184.750,4234.337,4375.700,190.951,49.587,6184.750,0
30,1,standard,4,4340.285,4375.700,4619.014,278.729,35.415,6340.285,0
13,0,premium,1,5000.000,5019.014,5081.824,81.824,19.014,5300.000,0
14,0,premium,1,5040.000,5081.824,5144.041,104.041,41.824,5340.000,0
15,0,premium,1,5080.000,5144.041,5210.352,130.352,64.041,5380.000,0
16,0,premium,1,5120.000,5210.352,5261.978,141.978,90.352,5420.000,0
17,0,premium,1,5160.000,5261.978,5330.088,170.088,101.978,5460.000,0
18,0,premium,1,5200.000,5330.088,5387.252,187.252,130.088,5500.000,0
38,2,standard,4,5379.272,5387.252,5616.460,237.188,7.980,7379.272,0
39,2,standard,4,5389.833,5487.252,5761.864,372.031,97.420,7389.833,0
40,2,standard,4,5573.136,5616.460,5988.248,415.111,43.324,7573.136,0
42,2,standard,4,5923.700,5988.248,6268.221,344.521,64.548,7923.700,0
41,2,standard,4,5783.181,5861.864,6276.462,493.281,78.683,7783.181,0
31,1,standard,4,6558.659,6576.462,6747.954,189.294,17.802,8558.659,0
43,2,standard,4,6688.373,6747.954,6877.910,189.537,59.581,8688.373,0
19,0,premium,1,7000.000,7077.910,7138.748,138.748,77.910,7300.000,0
20,0,premium,1,7040.000,7138.748,7201.934,161.934,98.748,7340.000,0
21,0,premium,1,7080.000,7201.934,7263.520,183.520,121.934,7380.000,0
22,0,premium,1,7120.000,7263.520,7321.822,201.822,143.520,7420.000,0
23,0,premium,1,7160.000,7321.822,7367.815,207.815,161.822,7460.000,0
24,0,premium,1,7200.000,7367.815,7433.646,233.646,167.815,7500.000,0
44,2,standard,4,7221.584,7433.646,7658.359,436.775,212.062,9221.584,0
53,3,best_effort,12,3254.863,3615.853,8072.444,4817.581,360.989,13254.863,0
52,3,best_effort,12,3139.939,3515.853,8350.938,5210.999,375.913,13139.939,0
55,3,best_effort,12,6063.929,6877.910,8543.450,2479.521,813.982,16063.929,0
54,3,best_effort,12,6026.452,6476.462,8746.354,2719.902,450.010,16026.452,0
45,2,standard,4,8862.550,8862.550,9130.396,267.846,0.000,10862.550,0
46,2,standard,4,8923.042,8962.550,9298.969,375.927,39.508,10923.042,0
47,2,standard,4,9020.847,9130.396,9426.063,405.215,109.549,11020.847,0
48,2,standard,4,9520.036,9520.036,9704.155,184.118,0.000,11520.036,0
