request_id,tenant_id,sla_class,priority,arrival_us,start_us,complete_us,latency_us,queueing_us,deadline_us,deadline_miss
25,1,standard,4,500.000,500.000,751.359,251.359,0.000,2500.000,0
32,2,standard,4,500.000,600.000,812.440,312.440,100.000,2500.000,0
1,0,premium,1,1000.000,1012.440,1077.684,77.684,12.440,1300.000,0
2,0,premium,1,1040.000,1077.684,1142.235,102.235,37.684,1340.000,0
3,0,premium,1,1080.000,1142.235,1207.136,127.136,62.235,1380.000,0
4,0,premium,1,1120.000,1207.136,1278.359,158.359,87.136,1420.000,0
5,0,premium,1,1160.000,1278.359,1351.581,191.581,118.359,1460.000,0
6,0,premium,1,1200.000,1351.581,1410.543,210.543,151.581,1500.000,0
26,1,standard,4,545.750,812.440,1421.128,875.378,266.690,2545.750,0
33,2,standard,4,595.531,1421.128,1638.195,1042.664,825.597,2595.531,0
34,2,standard,4,1571.134,1638.195,1813.355,242.221,67.061,3571.134,0
49,3,best_effort,12,0.000,0.000,1966.652,1966.652,0.000,10000.000,0
27,1,standard,4,1944.744,1966.652,2099.149,154.405,21.907,3944.744,0
35,2,standard,4,2381.448,2399.149,2660.571,279.123,17.701,4381.448,0
28,1,standard,4,2542.301,2660.571,2845.923,303.623,118.270,4542.301,0
50,3,best_effort,12,20.861,2099.149,2911.814,2890.953,2078.288,10020.861,0
7,0,premium,1,3000.000,3011.814,3075.943,75.943,11.814,3300.000,0
8,0,premium,1,3040.000,3075.943,3129.281,89.281,35.943,3340.000,0
9,0,premium,1,3080.000,3129.281,3203.511,123.511,49.281,3380.000,0
10,0,premium,1,3120.000,3203.511,3262.288,142.288,83.511,3420.000,0
11,0,premium,1,3160.000,3262.288,3333.968,173.968,102.288,3460.000,0
12,0,premium,1,3200.000,3333.968,3390.856,190.856,133.968,3500.000,0
51,3,best_effort,12,1622.927,2911.814,3515.853,1892.926,1288.888,11622.927,0
36,2,standard,4,3741.141,3815.853,3997.524,256.383,74.712,5741.141,0
29,1,standard,4,3876.065,3997.524,4134.337,258.272,121.459,5876.065,0
37,2,standard,4,4184.750,4234.337,4375.700,190.951,49.587,6184.750,0
30,1,standard,4,4340.285,4375.700,4619.014,278.729,35.415,6340.285,0
52,3,best_effort,12,3139.939,3515.853,4997.507,1857.568,375.913,13139.939,0
13,0,premium,1,5000.000,5097.507,5160.318,160.318,97.507,5300.000,0
14,0,premium,1,5040.000,5160.318,5222.535,182.535,120.318,5340.000,0
15,0,premium,1,5080.000,5222.535,5288.846,208.846,142.535,5380.000,0
16,0,premium,1,5120.000,5288.846,5340.472,220.472,168.846,5420.000,0
17,0,premium,1,5160.000,5340.472,5408.581,248.581,180.472,5460.000,0
18,0,premium,1,5200.000,5408.581,5465.746,265.746,208.581,5500.000,0
38,2,standard,4,5379.272,5465.746,5594.954,215.682,86.474,7379.272,0
39,2,standard,4,5389.833,5594.954,5740.357,350.524,205.121,7389.833,0
40,2,standard,4,5573.136,5740.357,5966.741,393.605,167.221,7573.136,0
41,2,standard,4,5783.181,5966.741,6174.982,391.801,183.560,7783.181,0
42,2,standard,4,5923.700,6174.982,6354.955,431.255,251.282,7923.700,0
31,1,standard,4,6558.659,6654.955,6826.447,267.788,96.296,8558.659,0
43,2,standard,4,6688.373,6826.447,6956.404,268.031,138.074,8688.373,0
19,0,premium,1,7000.000,7056.404,7117.241,117.241,56.404,7300.000,0
20,0,premium,1,7040.000,7117.241,7180.428,140.428,77.241,7340.000,0
21,0,premium,1,7080.000,7180.428,7242.013,162.013,100.428,7380.000,0
22,0,premium,1,7120.000,7242.013,7300.315,180.315,122.013,7420.000,0
23,0,premium,1,7160.000,7300.315,7346.308,186.308,140.315,7460.000,0
24,0,premium,1,7200.000,7346.308,7412.139,212.139,146.308,7500.000,0
44,2,standard,4,7221.584,7412.139,7636.853,415.269,190.555,9221.584,0
53,3,best_effort,12,3254.863,4997.507,7750.938,4496.075,1742.644,13254.863,0
54,3,best_effort,12,6026.452,7750.938,8353.842,2327.390,1724.486,16026.452,0
55,3,best_effort,12,6063.929,8353.842,8746.354,2682.425,2289.913,16063.929,0
45,2,standard,4,8862.550,8862.550,9030.396,167.846,0.000,10862.550,0
46,2,standard,4,8923.042,9030.396,9198.969,275.927,107.354,10923.042,0
47,2,standard,4,9020.847,9198.969,9426.063,405.215,178.122,11020.847,0
48,2,standard,4,9520.036,9520.036,9704.155,184.118,0.000,11520.036,0
